design,method,predicted_intervention,Chapter 1,Chapter 2,Chapter 3
Experimental,Fixed effects (incl. DiD),Distribution of a dietary knowledge calendar to rural households,,,
Qualitative,Other,"Multi-stakeholder partnerships (MSPs) in agricultural development in developing countries, as identified through systematic literature review",,,
Experimental,Randomised controlled trial,"Choice architecture modifications in school environments, including banners of daily school meal menu with superheroes, waterproof tablecloths, posters on healthy eating, playful display names, new fruit containers, and colored footprints.",,,
Experimental,Randomised controlled trial,Group business development program with complementary training and unconditional cash transfers to vulnerable rural households,,,
Experimental,Randomised controlled trial,"A community-based initiative comprising (1) community-driven development grants targeted at health and education outcomes, (2) training for health providers on infant and young child feeding and growth monitoring, and (3) training for sanitarians on a local variation of community-led total sanitation.",,,
Experimental,Randomised controlled trial,Mobile application-based breastfeeding training program for mothers on the first postpartum day,,,
Qualitative,Other,"Interventions aiming to promote sustainable energy in low- and middle-income countries, including access to energy, renewable energy adoption, and efficient energy technologies.",,,
Experimental,Randomised controlled trial,"Integrating early child development (early stimulation and play) into an existing health and nutrition program, implemented at scale as part of the MAHAY Mikolo study.",,,
"Experimental, Quasi-experimental","Randomised controlled trial, Fixed effects (incl. DiD), Statistical matching, Instrumental variable estimation, Regression discontinuity design","['Farm-to-market transport infrastructure interventions', 'Access to output market information interventions', 'New marketplaces or alternative marketing opportunities interventions', 'Contract farming interventions', 'Improved storage infrastructure and technologies interventions']",,,
Quasi-experimental,Synthetic control,Community awareness campaign about forest fires and program to support establishing and maintaining forest fire prevention infrastructure in villages surrounding protected forests,,,
Experimental,Randomised controlled trial,Provision of free sanitary pads and information on hygienic menstrual practices to female garment workers,,,
Quasi-experimental,Fixed effects (incl. DiD),The arrival of high-speed internet via submarine and terrestrial fiber-optic cables in African locations,,,
Experimental,Randomised controlled trial,"Interventions promoting adoption of climate-smart agricultural (CSA) practices for women farmers, primarily through knowledge dissemination approaches such as Farmer Field Schools and weather and climate information services.",,,
Quasi-experimental,Statistical matching,"Bundled peacebuilding interventions including basic service provision, capacity-building among civil society organizations, and support for conflict-resolution structures",,,
Experimental,Randomised controlled trial,Unconditional cash transfers through Lesotho's Child Grants Program,,,
Qualitative,Outcome harvesting,"['Policy, advocacy and health systems', 'Behavioural change interventions for the public', 'Services', 'Vouchers, cash or in-kind transfers']",,,
Experimental,Randomised controlled trial,Comparison of a multi-dimensional child nutrition in-kind program against unconditional cash transfers of varying amounts,,,
Experimental,Randomised controlled trial,"Random assignment of property owners to different tax rates (rate reduction versus status quo), randomized enforcement letters, and random assignment of tax collectors with differing enforcement capacity.",,,
Experimental,Randomised controlled trial,Conditional cash transfer program in Nicaragua,,,
Experimental,Randomised controlled trial,"Swachh Bharat sanitation and hygiene program interventions targeted at rural Gram Panchayats (villages), including measures to eliminate open defecation and promote good hygiene practices.",,,
Quasi-experimental,Synthetic control,Certification by the Forest Stewardship Council (FSC) for sustainable forest management,,,
Quasi-experimental,Statistical matching,"Household cash transfer program delivered via monthly mobile money transfers to refugees, restricted for use at licensed businesses",,,
Quasi-experimental,Regression discontinuity design,Accelerated reconstruction of public infrastructure via Mexico's indexed disaster fund (Fonden),,,
Qualitative,Other,Land-use change and forestry programmes,,,
Quasi-experimental,Fixed effects (incl. DiD),"Political allocation of Bolsa Familia benefits after elections, rewarding municipalities and voters that supported the ruling party.",,,
Quasi-experimental,Statistical matching,Nutrition-sensitive agriculture interventions targeting rural women in vulnerable areas,,,
Quasi-experimental,Interrupted time series analysis,Abrupt national ban on the imports of all chemical fertilizers by the Sri Lankan government in May 2021,,,
Quasi-experimental,Statistical matching,Urban Productive Safety Net Programme (UPSNP),,,
Quasi-experimental,Synthetic control,Collateral reform extending eligible assets for bank loans to include firms’ own equipment and movable assets,,,
Experimental,Randomised controlled trial,Participation in an online job fair for information and communication technology jobs,,,
Qualitative,Other,Blended finance initiatives supporting female entrepreneurship,,,
Quasi-experimental,Fixed effects (incl. DiD),Unilateral tax treaty terminations by developing countries (specifically cases of Mongolia and Argentina),,,
Experimental,Randomised controlled trial,"Easing information and financial constraints for agricultural productivity and household welfare, targeting different members of married households (husband, wife, or both)",,,
Qualitative,Outcome harvesting,Parenting programs aimed at preventing violence against children in low- and middle-income countries (LMICs),,,
Quasi-experimental,Fixed effects (incl. DiD),Composite cash transfer program (Dibao reform) offering increased subsidies conditional on school attendance or medical treatment,,,
Quasi-experimental,Statistical matching,Unconditional cash transfers to households in the informal sector,,,
Quasi-experimental,Interrupted time series analysis,Implementation of minimum wage policy in Malaysia,,,
Experimental,Randomised controlled trial,"Piloting and scaling of digital financial service markets (specifically, HelloCash) in refugee hosting areas; two randomized interventions: (1) customer referral bonuses for enrolment, (2) incentives for inactive customers to start using HelloCash.",,,
Experimental,Randomised controlled trial,A multifaceted ultra-poor graduation program (an integrated livelihood and nutrition intervention that supplements consumption support provided by Ethiopia’s Productive Safety Net Program (PSNP)),,,
Experimental,Randomised controlled trial,Large-scale multi-arm agricultural asset transfers,,,
