design,method,intervention
Quasi-experimental,Fixed effects (incl. DiD),Implementation of New Energy Demonstration City Pilot policy in selected Chinese cities
Experimental,Randomised controlled trial,Once-daily small-volume formula supplement for at-risk newborns alongside breastfeeding
Quasi-experimental,Fixed effects (incl. DiD),Mandatory disclosure of environmental information by Chinese companies from 2008
Quasi-experimental,Fixed effects (incl. DiD),Implementation of carbon emission trading policy in Chinese cities
Qualitative,Other,Implementation of education reform during post-war institutional changes in Burundi
Quasi-experimental,Interrupted time series analysis,Adjusting provincial antibiotic restriction lists in four Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),Implementation of environmental information disclosure policy in Chinese cities
Quasi-experimental,Difference-in-Differences,Removal of trailing vegetation in rivers to disrupt blackfly breeding sites
Quasi-experimental,Fixed effects (incl. DiD),Relocation of city government headquarters to a new district
Quasi-experimental,Instrumental variable estimation,Implementation of the Low-Carbon City Pilot policy in selected Chinese cities
Quasi-experimental,Difference-in-Differences,Establishment of Financial Comprehensive Reform Pilot Zones in selected Chinese regions
Quasi-experimental,Fixed effects (incl. DiD),Multidimensional women’s empowerment program in India
Experimental,Randomised controlled trial,Group-based parent training and child stimulation in rural Mexican communities
Experimental,Randomised controlled trial,Application of sunlight-reflecting 'cool roofs' to homes in rural Burkina Faso
Experimental,Randomised controlled trial,Nutrition education based on health belief and planned behavior theories for pregnant women
Quasi-experimental,Fixed effects (incl. DiD),National COVID-19 vaccination campaign using five different vaccine technologies
Quasi-experimental,Fixed effects (incl. DiD),Relaxation of internal migration restrictions via 2014 hukou reform in nonmegacities
Experimental,Randomised controlled trial,Delivery of m-health information on sexual and reproductive health to adolescents in schools
Experimental,Randomised controlled trial,Oral health improvement program for children living with HIV in Nigeria
Other,Other,Systematic review of menstrual health interventions in low- and middle-income countries
Quasi-experimental,Other,Community-based education and support activities to reduce stillbirths
Experimental,Other,Family planning programs to promote modern contraceptive use among women in South Asia
Quasi-experimental,Other,Community-based home management of malaria using antimalarial treatments
Qualitative,Other,Mapping mhealth tools for community-based infectious disease surveillance in Africa
Other,Other,Health system strengthening interventions to improve child survival in sub-Saharan Africa
Quasi-experimental,Fixed effects (incl. DiD),Government-led mass media campaign promoting the value of daughters
Quasi-experimental,Difference-in-Differences,Reduction in trade policy uncertainty after China's WTO accession
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the National Sustainable Development Plan for Resource-Based Cities (NSDP)
Quasi-experimental,Fixed effects (incl. DiD),Implementation of environmental tournament policies in Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Designation of national key ecological functional areas (NKEFA) in selected counties
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the New Energy Demonstration City (NEDC) policy in selected cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of NPSDRC sustainable development policy in resource-based cities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of low-carbon pilot city policy in selected urban areas
Quasi-experimental,Statistical matching,Dissemination of improved cookstoves via results-based financing under the REDD+ program
Quasi-experimental,Instrumental variable estimation,Provision of fossil fuel subsidies to energy consumers in China
Quasi-experimental,Fixed effects (incl. DiD),Establishment of modern agricultural demonstration zones in Chinese counties
Experimental,Randomised controlled trial,Online family-focused parenting support for parents of preterm infants
Quasi-experimental,Fixed effects (incl. DiD),Increased local government green fiscal expenditure in Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Establishment of environmental courts in Chinese cities
Quasi-experimental,Fixed effects (incl. DiD),Imposing energy consumption targets on major energy-consuming enterprises
Experimental,Randomised controlled trial,Uploading graduates to a digital job platform and sending job-related text messages
Experimental,Randomised controlled trial,Text messages providing specific water conservation strategies to households
Quasi-experimental,Fixed effects (incl. DiD),Allocation of overlapping logging and mining concessions in public tropical forests
Quasi-experimental,Fixed effects (incl. DiD),Coal production reduction policy implemented in China starting in 2016
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's dual carbon policy targeting heavy-polluting enterprises
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 'negative list for market access' pilot project
Quasi-experimental,Fixed effects (incl. DiD),Distribution of dietary knowledge calendars to rural households
Qualitative,Other,Multi-stakeholder partnerships to develop agricultural value chains
Experimental,Randomised controlled trial,Choice architecture modifications promoting water and healthy food intake in school cafeterias
Experimental,Randomised controlled trial,Group business training and unconditional cash transfers to vulnerable rural households
Experimental,Randomised controlled trial,"Community grants, health provider and sanitation training to reduce stunting"
Experimental,Randomised controlled trial,Mobile app-based breastfeeding education for postpartum mothers
Qualitative,Other,Systematically mapping sustainable energy interventions in low- and middle-income countries
Experimental,Randomised controlled trial,Integration of early childhood stimulation into existing health and nutrition services
Quasi-experimental,Other,Facilitating smallholder farmers’ access to agricultural output markets
Quasi-experimental,Synthetic control,Community awareness campaigns and fire prevention infrastructure in villages near protected forests
